Mat;Ind;Ipa;Ing;Rata;Jumlah
76;81;64;56;69.25;277.00
76;91;76.5;59.5;75.75;303.00
93.5;83.5;69;66;78.00;312.00
68.5;89;69;63.5;72.50;290.00
85;85;51.5;56;69.38;277.50
88.5;79;64;51.5;70.75;283.00
93.5;87;76.5;71;82.00;328.00
45;80.5;51.5;65.5;60.63;242.50
53.5;79;59;56;61.88;247.50
51;87;39;69.5;61.63;246.50
53.5;91;76.5;71.5;73.13;292.50
71;70.5;76.5;56;68.50;274.00
88.5;83;84;51;76.63;306.50
88.5;77;71.5;61.5;74.63;298.50
78.5;83;79;56;74.13;296.50
81;79;61.5;45.5;66.75;267.00
78.5;87.5;76.5;45;71.88;287.50
66;85;61.5;45.5;64.50;258.00
63.5;77;71.5;61.5;68.38;273.50
78.5;81;74;57;72.63;290.50
53.5;83;64;57.5;64.50;258.00
33.5;75;51.5;61;55.25;221.00
96;79;71.5;53.5;75.00;300.00
56;85;76.5;51;67.13;268.50
83.5;93;76.5;69.5;80.63;322.50
66;70.5;64;56;64.13;256.50
86;87;79;61.5;78.38;313.50
53.5;79;66.5;51.5;62.63;250.50
91;75;76.5;76;79.63;318.50
93.5;88.5;81.5;56;79.88;319.50
96;85;81.5;75.5;84.50;338.00
88.5;83;76.5;61;77.25;309.00
81;73;54;51;64.75;259.00
71;79;56.5;39.5;61.50;246.00
56;85.5;66.5;56;66.00;264.00
96;87;64;75.5;80.63;322.50
91;84;64;55;73.50;294.00
96;84;86.5;67.5;83.50;334.00
63.5;72.5;64;51;62.75;251.00
86;84;64;67.5;75.38;301.50
66;76;66.5;49.5;64.50;258.00
83.5;78;59;56;69.13;276.50
48.5;84;71.5;57.5;65.38;261.50
96;76;84;67;80.75;323.00
71;72;69;47.5;64.88;259.50
91;78;66.5;57;73.13;292.50
86;68.5;71.5;56;70.50;282.00
63.5;78;69;63.5;68.50;274.00
51;82;66.5;61;65.13;260.50
53.5;80;71.5;55.5;65.13;260.50
76;82;69;56;70.75;283.00
81;80;64;51;69.00;276.00
90;85.5;84;61;80.13;320.50
96;88;79;89.5;88.13;352.50
76;78;64;61;69.75;279.00
98.5;84;91.5;65.5;84.88;339.50
88.5;92;89;56;81.38;325.50
90.5;80;69;46;71.38;285.50
81;78.5;69;57;71.38;285.50
86;80;86.5;59.5;78.00;312.00
83.5;82;79;67.5;78.00;312.00
71;88;69;67;73.75;295.00
78.5;81.5;79;56;73.75;295.00
90.5;87;84;66;81.88;327.50
83.5;81;71.5;51;71.75;287.00
53.5;75.5;54;71;63.50;254.00
76;89;76.5;71;78.13;312.50
61;81;76.5;81.5;75.00;300.00
88.5;87;69;55;74.88;299.50
71;83;64;59.5;69.38;277.50
76;87;74;66;75.75;303.00
58.5;83;59;61;65.38;261.50
61;87;56.5;57.5;65.50;262.00
83.5;87;81.5;71;80.75;323.00
78.5;87;71.5;71.5;77.13;308.50
41;81.5;64;61;61.88;247.50
73.5;89;61.5;55;69.75;279.00
68.5;80.5;84;56;72.25;289.00
63.5;81;71.5;51.5;66.88;267.50
56;71;71.5;80;69.63;278.50
78.5;89;66.5;66;75.00;300.00
91;77;66.5;67.5;75.50;302.00
76;75.5;56.5;51;64.75;259.00
73.5;81;61.5;47.5;65.88;263.50
86;85;64;66;75.25;301.00
61;89;71.5;55.5;69.25;277.00
96;83.5;74;67;80.13;320.50
58.5;75;56.5;55.5;61.38;245.50
68.5;85;56.5;60;67.50;270.00
58.5;87;59;67;67.88;271.50
56;88.5;51.5;61.5;64.38;257.50
91;79;76.5;65.5;78.00;312.00
63.5;89;66.5;51;67.50;270.00
56;75;74;77.5;70.63;282.50
56;83.5;54;56;62.38;249.50
66;83;49;61.5;64.88;259.50
58.5;75;69;61;65.88;263.50
55;87.5;61.5;51.5;63.88;255.50
58.5;85;71.5;71;71.50;286.00
61;81;61.5;51.5;63.75;255.00
61;87.5;71.5;67;71.75;287.00
83.5;91;79;73.5;81.75;327.00
65;85;76.5;69;73.88;295.50
90.5;83;94;65.5;83.25;333.00
90;80.5;84;76;82.63;330.50
86;81;64;70;75.25;301.00
93.5;77;81.5;66;79.50;318.00
68;75.5;61.5;70;68.75;275.00
73.5;73;64;49.5;65.00;260.00
81;81;66.5;56;71.13;284.50
61;77.5;76.5;57;68.00;272.00
43.5;79;64;77.5;66.00;264.00
88.5;79.5;91.5;67;81.63;326.50
96;81;81.5;49.5;77.00;308.00
68.5;79;64;51;65.63;262.50
66;80;54;75.5;68.88;275.50
68.5;91;81.5;69;77.50;310.00
61;89;71.5;37.5;64.75;259.00
93.5;87;84;69;83.38;333.50
73.5;81;56.5;49.5;65.13;260.50
68.5;85.5;74;46;68.50;274.00
56;83;71.5;53.5;66.00;264.00
66;91;71.5;57;71.38;285.50
86;85;86.5;37.5;73.75;295.00
66;83;74;35.5;64.63;258.50
56;90;71.5;45;65.63;262.50
98.5;79;66.5;63.5;76.88;307.50
56;88.5;59;55;64.63;258.50
81;93;79;67;80.00;320.00
86.5;85.5;81.5;55.5;77.25;309.00
76;81;61.5;51;67.38;269.50
63.5;87;79;66;73.88;295.50
46;80;69;70;66.25;265.00
61;77;69;66;68.25;273.00
53.5;95;71.5;53.5;68.38;273.50
61;90;69;70;72.50;290.00
83.5;85.5;59;71;74.75;299.00
46;85;69;55.5;63.88;255.50
86;75;76.5;66;75.88;303.50
76;80.5;76.5;81.5;78.63;314.50
71;88.5;76.5;71.5;76.88;307.50
63.5;75;66.5;56;65.25;261.00
66;80.5;56.5;57.5;65.13;260.50
88.5;89;89;71;84.38;337.50
66;85.5;64;63.5;69.75;279.00
71;83;76.5;61;72.88;291.50
71;80.5;79;49.5;70.00;280.00
68.5;81;61.5;61;68.00;272.00
76;80.5;79;67.5;75.75;303.00
91;90.5;84;71;84.13;336.50
90;85;81.5;71.5;82.00;328.00
93.5;88.5;76.5;63.5;80.50;322.00
83.5;85;81.5;66;79.00;316.00
75;81.5;74;39.5;67.50;270.00
83.5;81;81.5;73.5;79.88;319.50
91;93.5;94;69.5;87.00;348.00
86;87;81.5;79.5;83.50;334.00
86;83.5;81.5;59.5;77.63;310.50
78.5;83;59;57;69.38;277.50
63.5;85.5;74;55.5;69.63;278.50
86;85;76.5;66;78.38;313.50
90.5;90.5;91.5;85.5;89.50;358.00
58.5;69;64;69.5;65.25;261.00
91;90.5;84;71;84.13;336.50
88.5;93;81.5;65.5;82.13;328.50
81;77;66.5;56;70.13;280.50
78.5;80.5;79;59.5;74.38;297.50
86;89;69;46;72.50;290.00
66;91;64;67.5;72.13;288.50
61;77;69;78;71.25;285.00
68.5;87;84;79.5;79.75;319.00
61;83;71.5;49.5;66.25;265.00
88.5;91;76.5;79;83.75;335.00
76;73;64;56;67.25;269.00
56;89;61.5;69.5;69.00;276.00
73.5;75;61.5;59;67.25;269.00
75;75;59;65.5;68.63;274.50
73.5;75;49;67;66.13;264.50
58.5;77;69;75.5;70.00;280.00
75;77;66.5;56;68.63;274.50
66;79;81.5;79.5;76.50;306.00
88.5;87;71.5;57.5;76.13;304.50
56;89;59;61;66.25;265.00
58.5;87;64;71;70.13;280.50
40;83;56.5;87.5;66.75;267.00
65;79;74;57;68.75;275.00
93.5;81;59;49.5;70.75;283.00
65;83;74;45.5;66.88;267.50
85;79;59;54;69.25;277.00
83.5;91;66.5;69.5;77.63;310.50
55;73;76.5;53;64.38;257.50
81;81;69;68;74.75;299.00
86;83;69;49.5;71.88;287.50
73.5;85.5;76.5;45;70.13;280.50
76;89;69;75.5;77.38;309.50
68.5;83;66.5;45;65.75;263.00
73.5;70.5;71.5;56;67.88;271.50
98.5;93;79;57.5;82.00;328.00
63.5;79.5;66.5;66;68.88;275.50
83.5;77;76.5;57.5;73.63;294.50
73.5;85.5;74;67.5;75.13;300.50
98.5;87;76.5;71;83.25;333.00
71;79.5;69;47.5;66.75;267.00
58.5;79;59;57;63.38;253.50
61;83.5;74;45.5;66.00;264.00
51;87;51.5;57.5;61.75;247.00
53.5;83.5;61.5;77.5;69.00;276.00
83.5;79;66.5;66;73.75;295.00
68.5;85;86.5;39.5;69.88;279.50
76;79.5;71.5;55;70.50;282.00
51;81;71.5;49.5;63.25;253.00
66;79;64;51.5;65.13;260.50
48.5;79.5;61.5;77;66.63;266.50
71;81;71.5;53.5;69.25;277.00
86;73.5;66.5;61.5;71.88;287.50
78.5;83;61.5;47.5;67.63;270.50
48.5;77;66.5;76;67.00;268.00
81;72.2;76.5;55.5;71.30;285.20
96;76.2;74;45.5;72.93;291.70
66;88.2;69;59.5;70.68;282.70
86;82.2;74;75.5;79.43;317.70
93.5;96.2;69;70;82.18;328.70
98.5;84.2;89;71.5;85.80;343.20
71;79;66.5;65.5;70.50;282.00
81;83;79;44;71.75;287.00
71;85;66.5;65.5;72.00;288.00
61;79;56.5;65;65.38;261.50
78.5;83;59;51.5;68.00;272.00
63;87;76.5;45;67.88;271.50
88.5;79;71.5;65.5;76.13;304.50
76;83;69;70;74.50;298.00
81;85;64;43.5;68.38;273.50
76;89;74;57;74.00;296.00
91;89;91.5;61.5;83.25;333.00
88.5;79;74;59.5;75.25;301.00
63.5;81;56.5;61;65.50;262.00
86;75;71.5;59.5;73.00;292.00
63.5;85;74;66;72.13;288.50
78.5;79;76.5;65.5;74.88;299.50
56;75;61.5;57.5;62.50;250.00
78.5;90.5;81.5;65.5;79.00;316.00
53.5;79;56.5;66;63.75;255.00
93;81;74;49.5;74.38;297.50
86;79;81.5;46;73.13;292.50
96;88.5;99;45.5;82.25;329.00
68.5;85;56.5;56;66.50;266.00
70;85;74;57.5;71.63;286.50
53.5;71;69;51.5;61.25;245.00
81;85;76.5;56;74.63;298.50
61;77;71.5;53.5;65.75;263.00
73.5;70.5;71.5;51;66.63;266.50
56;69;79;51.5;63.88;255.50
76;77;64;53.5;67.63;270.50
83.5;73;56.5;51.5;66.13;264.50
83;69;59;55.5;66.63;266.50
78.5;83;64;47.5;68.25;273.00
86;85;79;51.5;75.38;301.50
80;85.5;71.5;71.5;77.13;308.50
78.5;77;64;61;70.13;280.50
86;79;84;57.5;76.63;306.50
96;85;89;61;82.75;331.00
58.5;79;54;55.5;61.75;247.00
91;81.5;61.5;75.5;77.38;309.50
60;77;69;63.5;67.38;269.50
98.5;83;84;85.5;87.75;351.00
65;73;69;39.5;61.63;246.50
86;79.5;56.5;67;72.25;289.00
76;87;61.5;67.5;73.00;292.00
66;83;64;51;66.00;264.00
61;89;51.5;65.5;66.75;267.00
81;81;79;66;76.75;307.00
91;88.5;79;75.5;83.50;334.00
93.5;95;71.5;67;81.75;327.00
86;81;76.5;43.5;71.75;287.00
66;75;59;78;69.50;278.00
63.5;73;61.5;63.5;65.38;261.50
58.5;87;69;55.5;67.50;270.00
58.5;79.5;64;56;64.50;258.00
61;75;66.5;65.5;67.00;268.00
78.5;73;69;56;69.13;276.50
71;81;71.5;71.5;73.75;295.00
88.5;93.5;69;67.5;79.63;318.50
76;69;69;51;66.25;265.00
91;85;74;53.5;75.88;303.50
91;79;76.5;65.5;78.00;312.00
78.5;85.5;76.5;57.5;74.50;298.00
73;83;81.5;53.5;72.75;291.00
93.5;87;79;67.5;81.75;327.00
61;81;71.5;71;71.13;284.50
86;83;81.5;73.5;81.00;324.00
76;80.5;59;74;72.38;289.50
88.5;79;94;81.5;85.75;343.00
86;85;79;67;79.25;317.00
88;89;89;91.5;89.38;357.50
63.5;81.5;64;56;66.25;265.00
48;85;54;73.5;65.13;260.50
53.5;83;56.5;51;61.00;244.00
56;85;64;45.5;62.63;250.50
63.5;75.5;51.5;66;64.13;256.50
66;91;71.5;55;70.88;283.50
56;79;61.5;48.5;61.25;245.00
63.5;73;46.5;55;59.50;238.00
43;83;44;60;57.50;230.00
41;75;46.5;55.5;54.50;218.00
43.5;79.5;41.5;55;54.88;219.50
71;67;59;46;60.75;243.00
51;77;59;56;60.75;243.00
46;71.5;56.5;56;57.50;230.00
61;81;56.5;55;63.38;253.50
46;83;46.5;54;57.38;229.50
36;77.5;61.5;66.5;60.38;241.50
48.5;77;59;68.5;63.25;253.00
46;83;69;46;61.00;244.00
