Mat;Ind;Ipa;Ing;AVG;SUM
87.5;82;75;48;73.125;292.5
87.5;84;87.5;46;76.25;305
90;88;80;50;77;308
60;70;72.5;56;64.625;258.5
70;80;70;48;67;268
45;90;52.5;52;59.875;239.5
75;70;65;62;68;272
62.5;84;55;52;63.375;253.5
82.5;82;52.5;62;69.75;279
60;78;65;58;65.25;261
72.5;84;67.5;52;69;276
85;86;85;62;79.5;318
60;86;80;50;69;276
75;84;85;44;72;288
75;96;82.5;50;75.875;303.5
60;82;80;62;71;284
97.5;92;87.5;64;85.25;341
87.5;90;85;58;80.125;320.5
85;84;87.5;54;77.625;310.5
70;94;82.5;64;77.625;310.5
72.5;80;80;60;73.125;292.5
97.5;90;97.5;64;87.25;349
62.5;86;62.5;54;66.25;265
77.5;80;70;54;70.375;281.5
60;90;55;52;64.25;257
67.5;82;70;54;68.375;273.5
77.5;76;70;52;68.875;275.5
60;82;70;56;67;268
60;82;62.5;50;63.625;254.5
82.5;82;57.5;66;72;288
55;84;70;56;66.25;265
85;80;77.5;58;75.125;300.5
80;90;75;56;75.25;301
57.5;84;60;46;61.875;247.5
85;82;67.5;46;70.125;280.5
87.5;86;55;64;73.125;292.5
50;90;70;62;68;272
52.5;86;60;62;65.125;260.5
75;82;65;52;68.5;274
75;92;77.5;58;75.625;302.5
92.5;84;70;64;77.625;310.5
67.5;90;70;62;72.375;289.5
82.5;86;52.5;54;68.75;275
87.5;80;65;50;70.625;282.5
92.5;88;77.5;72;82.5;330
47.5;80;52.5;64;61;244
52.5;80;60;56;62.125;248.5
50;88;40;68;61.5;246
52.5;92;77.5;70;73;292
70;72;77.5;46;66.375;265.5
87.5;84;85;56;78.125;312.5
87.5;78;72.5;60;74.5;298
77.5;84;80;50;72.875;291.5
80;80;62.5;44;66.625;266.5
77.5;88;77.5;44;71.75;287
65;86;62.5;44;64.375;257.5
62.5;78;72.5;60;68.25;273
77.5;82;75;44;69.625;278.5
52.5;84;65;56;64.375;257.5
32.5;76;52.5;46;51.75;207
95;80;72.5;52;74.875;299.5
55;86;77.5;44;65.625;262.5
82.5;94;77.5;68;80.5;322
65;72;65;40;60.5;242
85;88;80;60;78.25;313
52.5;80;67.5;50;62.5;250
90;76;77.5;74;79.375;317.5
92.5;88;82.5;52;78.75;315
95;86;82.5;74;84.375;337.5
87.5;84;77.5;56;76.25;305
80;74;55;36;61.25;245
70;80;57.5;38;61.375;245.5
55;86;67.5;54;65.625;262.5
95;88;65;74;80.5;322
90;86;65;48;72.25;289
95;86;87.5;66;83.625;334.5
62.5;74;65;46;61.875;247.5
85;86;65;66;75.5;302
65;78;67.5;48;64.625;258.5
82.5;80;60;52;68.625;274.5
47.5;86;72.5;56;65.5;262
95;78;85;46;76;304
70;74;70;46;65;260
90;80;67.5;48;71.375;285.5
85;70;72.5;38;66.375;265.5
62.5;80;70;62;68.625;274.5
50;84;67.5;58;64.875;259.5
52.5;82;72.5;54;65.25;261
75;84;70;36;66.25;265
80;82;65;44;67.75;271
100;86;85;46;79.25;317
95;90;80;88;88.25;353
75;80;65;58;69.5;278
97.5;86;92.5;64;85;340
87.5;94;90;54;81.375;325.5
95;82;70;42;72.25;289
80;80;70;48;69.5;278
85;82;87.5;58;78.125;312.5
82.5;84;80;66;78.125;312.5
70;90;70;62;73;292
77.5;82;80;46;71.375;285.5
100;88;85;64;84.25;337
82.5;82;72.5;52;72.25;289
52.5;76;55;68;62.875;251.5
75;90;77.5;60;75.625;302.5
60;82;77.5;80;74.875;299.5
87.5;88;70;52;74.375;297.5
70;84;65;58;69.25;277
75;88;75;52;72.5;290
57.5;84;60;46;61.875;247.5
60;88;57.5;56;65.375;261.5
82.5;88;82.5;56;77.25;309
77.5;88;72.5;70;77;308
40;82;65;58;61.25;245
72.5;90;62.5;48;68.25;273
67.5;80;85;50;70.625;282.5
62.5;82;72.5;50;66.75;267
55;72;72.5;78;69.375;277.5
77.5;90;67.5;60;73.75;295
90;78;67.5;66;75.375;301.5
75;78;57.5;38;62.125;248.5
72.5;82;62.5;46;65.75;263
85;86;65;64;75;300
60;90;72.5;54;69.125;276.5
95;84;75;56;77.5;310
57.5;76;57.5;54;61.25;245
67.5;86;57.5;54;66.25;265
57.5;88;60;58;65.875;263.5
55;88;52.5;60;63.875;255.5
90;80;77.5;64;77.875;311.5
62.5;90;67.5;46;66.5;266
55;76;75;76;70.5;282
55;84;55;54;62;248
65;84;50;60;64.75;259
57.5;76;70;54;64.375;257.5
52.5;88;62.5;50;63.25;253
57.5;86;72.5;42;64.5;258
60;82;62.5;50;63.625;254.5
60;88;72.5;60;70.125;280.5
82.5;92;80;72;81.625;326.5
72.5;86;77.5;60;74;296
97.5;84;95;64;85.125;340.5
97.5;80;85;70;83.125;332.5
87.5;82;65;68;75.625;302.5
92.5;78;82.5;62;78.75;315
67.5;76;62.5;68;68.5;274
72.5;74;65;48;64.875;259.5
80;82;67.5;50;69.875;279.5
60;78;77.5;52;66.875;267.5
42.5;80;65;76;65.875;263.5
87.5;80;92.5;56;79;316
95;82;82.5;48;76.875;307.5
67.5;80;65;44;64.125;256.5
65;80;55;74;68.5;274
67.5;92;82.5;68;77.5;310
60;90;72.5;36;64.625;258.5
92.5;88;85;62;81.875;327.5
72.5;82;57.5;48;65;260
67.5;84;75;32;64.625;258.5
55;84;72.5;52;65.875;263.5
65;92;72.5;56;71.375;285.5
85;86;87.5;36;73.625;294.5
65;84;75;34;64.5;258
55;90;72.5;46;65.875;263.5
97.5;80;67.5;62;76.75;307
55;90;60;50;63.75;255
80;94;80;66;80;320
100;88;82.5;54;81.125;324.5
75;82;62.5;36;63.875;255.5
62.5;88;80;64;73.625;294.5
45;80;70;68;65.75;263
60;78;70;50;64.5;258
52.5;92;72.5;52;67.25;269
60;92;70;68;72.5;290
82.5;82;60;66;72.625;290.5
45;86;70;54;63.75;255
85;76;77.5;60;74.625;298.5
75;82;77.5;80;78.625;314.5
70;92;77.5;70;77.375;309.5
62.5;76;67.5;46;63;252
65;80;57.5;56;64.625;258.5
87.5;90;90;66;83.375;333.5
65;88;65;62;70;280
70;84;77.5;50;70.375;281.5
70;80;80;48;69.5;278
67.5;82;62.5;58;67.5;270
75;80;80;66;75.25;301
90;92;85;68;83.75;335
97.5;86;82.5;70;84;336
92.5;90;77.5;62;80.5;322
82.5;86;82.5;64;78.75;315
62.5;82;75;38;64.375;257.5
82.5;82;82.5;72;79.75;319
90;94;95;68;86.75;347
85;88;82.5;78;83.375;333.5
85;84;82.5;58;77.375;309.5
77.5;84;60;56;69.375;277.5
62.5;86;75;54;69.375;277.5
85;86;77.5;64;78.125;312.5
100;92;92.5;84;92.125;368.5
57.5;70;65;68;65.125;260.5
90;92;85;70;84.25;337
87.5;94;82.5;64;82;328
80;78;67.5;50;68.875;275.5
77.5;82;80;58;74.375;297.5
85;90;70;40;71.25;285
65;92;65;66;72;288
60;78;70;76;71;284
67.5;88;85;78;79.625;318.5
60;84;72.5;48;66.125;264.5
100;92;77.5;78;86.875;347.5
72.5;74;65;40;62.875;251.5
55;90;62.5;68;68.875;275.5
72.5;76;62.5;58;67.25;269
72.5;76;60;64;68.125;272.5
72.5;76;50;62;65.125;260.5
57.5;78;70;74;69.875;279.5
57.5;78;67.5;54;64.25;257
65;80;82.5;78;76.375;305.5
87.5;88;72.5;56;76;304
55;90;60;62;66.75;267
57.5;88;65;70;70.125;280.5
37.5;84;57.5;86;66.25;265
62.5;80;75;40;64.375;257.5
92.5;82;60;48;70.625;282.5
62.5;84;75;44;66.375;265.5
82.5;80;60;52;68.625;274.5
82.5;92;67.5;68;77.5;310
52.5;74;77.5;52;64;256
80;82;70;66;74.5;298
85;84;70;48;71.75;287
72.5;86;77.5;38;68.5;274
75;90;70;74;77.25;309
67.5;84;67.5;38;64.25;257
72.5;70;72.5;38;63.25;253
97.5;94;80;56;81.875;327.5
62.5;80;67.5;60;67.5;270
82.5;78;77.5;56;73.5;294
72.5;86;75;66;74.875;299.5
97.5;88;77.5;64;81.75;327
70;80;70;46;66.5;266
57.5;80;60;48;61.375;245.5
60;84;75;44;65.75;263
50;88;52.5;56;61.625;246.5
52.5;84;62.5;76;68.75;275
82.5;80;67.5;60;72.5;290
67.5;86;87.5;38;69.75;279
75;80;72.5;52;69.875;279.5
50;82;72.5;48;63.125;252.5
65;80;65;50;65;260
47.5;80;62.5;60;62.5;250
70;82;72.5;52;69.125;276.5
85;74;67.5;60;71.625;286.5
77.5;84;62.5;46;67.5;270
47.5;78;67.5;72;66.25;265
80;74;77.5;54;71.375;285.5
95;78;75;44;73;292
65;90;70;58;70.75;283
85;84;75;74;79.5;318
92.5;98;70;68;82.125;328.5
97.5;86;90;70;85.875;343.5
70;80;67.5;64;70.375;281.5
80;84;80;42;71.5;286
70;86;67.5;64;71.875;287.5
60;80;57.5;62;64.875;259.5
77.5;84;60;50;67.875;271.5
62.5;88;77.5;44;68;272
87.5;80;72.5;64;76;304
75;84;70;68;74.25;297
80;86;65;42;68.25;273
75;90;75;50;72.5;290
90;90;92.5;60;83.125;332.5
87.5;80;75;58;75.125;300.5
62.5;82;57.5;52;63.5;254
85;76;72.5;58;72.875;291.5
62.5;86;75;60;70.875;283.5
77.5;80;77.5;64;74.75;299
55;76;62.5;56;62.375;249.5
77.5;90;82.5;64;78.5;314
52.5;80;57.5;64;63.5;254
92.5;82;75;48;74.375;297.5
85;80;82.5;38;71.375;285.5
95;98;100;44;84.25;337
67.5;86;57.5;50;65.25;261
67.5;86;75;56;71.125;284.5
52.5;72;70;50;61.125;244.5
80;86;77.5;44;71.875;287.5
60;78;72.5;52;65.625;262.5
72.5;70;72.5;38;63.25;253
55;70;80;50;63.75;255
75;78;65;52;67.5;270
82.5;74;57.5;50;66;264
82.5;70;60;54;66.625;266.5
77.5;84;65;46;68.125;272.5
85;86;80;50;75.25;301
62.5;86;72.5;70;72.75;291
77.5;78;65;54;68.625;274.5
85;80;85;56;76.5;306
95;86;90;60;82.75;331
57.5;80;55;54;61.625;246.5
90;82;62.5;74;77.125;308.5
62.5;78;70;62;68.125;272.5
97.5;84;85;84;87.625;350.5
62.5;74;70;38;61.125;244.5
85;80;57.5;58;70.125;280.5
75;88;62.5;66;72.875;291.5
65;84;65;50;66;264
60;90;52.5;64;66.625;266.5
80;82;80;56;74.5;298
90;98;80;74;85.5;342
92.5;96;72.5;66;81.75;327
85;82;77.5;42;71.625;286.5
65;76;60;72;68.25;273
62.5;74;62.5;62;65.25;261
57.5;88;70;54;67.375;269.5
57.5;80;65;50;63.125;252.5
60;76;67.5;64;66.875;267.5
77.5;74;70;48;67.375;269.5
70;82;72.5;70;73.625;294.5
87.5;94;70;66;79.375;317.5
75;70;70;48;65.75;263
90;86;75;52;75.75;303
90;80;77.5;64;77.875;311.5
77.5;86;77.5;56;74.25;297
72.5;84;82.5;52;72.75;291
92.5;88;80;66;81.625;326.5
60;82;72.5;72;71.625;286.5
85;84;82.5;72;80.875;323.5
75;80;60;70;71.25;285
87.5;80;95;80;85.625;342.5
97.5;86;80;58;80.375;321.5
85.5;90;90;90;88.875;355.5
62.5;82;65;44;63.375;253.5
47.5;86;55;72;65.125;260.5
52.5;84;57.5;48;60.5;242
55;86;65;40;61.5;246
62.5;76;52.5;44;58.75;235
65;92;72.5;52;70.375;281.5
55;80;62.5;46;60.875;243.5
62.5;74;47.5;50;58.5;234
42.5;84;45;58;57.375;229.5
40;76;47.5;48;52.875;211.5
42.5;80;42.5;50;53.75;215
70;68;60;44;60.5;242
50;78;60;30;54.5;218
45;72;57.5;50;56.125;224.5
60;82;57.5;44;60.875;243.5
45;84;47.5;42;54.625;218.5
35;78;62.5;64;59.875;239.5
47.5;78;60;66;62.875;251.5
45;84;70;44;60.75;243
