Mat,Ind,Ipa,Ing,Rata,Jumlah,JURUSAN
47.5,72,46,67.5,58.25,233.00,ARSITEK
60,78,60,40,59.50,238.00,ARSITEK
47.5,82,66,57.5,63.25,253.00,ARSITEK
95,96,90,92.5,93.38,373.50,ARSITEK
80,76,54,62.5,68.13,272.50,ARSITEK
45,88,54,77.5,66.13,264.50,ARSITEK
65,76,42,37.5,55.13,220.50,ARSITEK
60,72,34,67.5,58.38,233.50,ARSITEK
67.5,86,54,60,66.88,267.50,ARSITEK
52.5,84,46,65,61.88,247.50,ARSITEK
70,96,70,70,76.50,306.00,ARSITEK
42.5,66,66,47.5,55.50,222.00,ARSITEK
42.5,80,42,65,57.38,229.50,ARSITEK
47.5,78,48,65,59.63,238.50,ARSITEK
37.5,80,46,60,55.88,223.50,ARSITEK
40,76,52,52.5,55.13,220.50,ARSITEK
65,74,60,50,62.25,249.00,ARSITEK
87.5,92,74,67.5,80.25,321.00,ARSITEK
57.5,74,70,60,65.38,261.50,ARSITEK
62.5,70,42,67.5,60.50,242.00,ARSITEK
82.5,92,60,62.5,74.25,297.00,ARSITEK
90,80,64,75,77.25,309.00,ARSITEK
55,68,52,65,60.00,240.00,ARSITEK
40,88,40,57.5,56.38,225.50,ARSITEK
60,56,52,67.5,58.88,235.50,ARSITEK
50,74,52,62.5,59.63,238.50,ARSITEK
47.5,78,64,55,61.13,244.50,ARSITEK
50,78,52,60,60.00,240.00,ARSITEK
57.5,70,40,52.5,55.00,220.00,ARSITEK
65,98,98,62.5,80.88,323.50,ARSITEK
70,84,40,55,62.25,249.00,ARSITEK
60,84,50,60,63.50,254.00,ARSITEK
47.5,82,44,52.5,56.50,226.00,ARSITEK
95,86,68,82.5,82.88,331.50,ARSITEK
47.5,80,46,60,58.38,233.50,ARSITEK
45,94,40,52.5,57.88,231.50,ARSITEK
42.5,82,44,70,59.63,238.50,ARSITEK
45,90,58,50,60.75,243.00,ARSITEK
60,86,60,65,67.75,271.00,ARSITEK
47.5,74,56,42.5,55.00,220.00,ARSITEK
97.5,90,74,87.5,87.25,349.00,ARSITEK
77.5,78,42,65,65.63,262.50,ARSITEK
60,82,46,65,63.25,253.00,ARSITEK
45,78,50,52.5,56.38,225.50,ARSITEK
67.5,90,86,70,78.38,313.50,ARSITEK
62.5,80,38,57.5,59.50,238.00,ARSITEK
62.5,88,88,67.5,76.50,306.00,ARSITEK
50,86,54,57.5,61.88,247.50,ARSITEK
65,92,68,82.5,76.88,307.50,ARSITEK
45,76,66,52.5,59.88,239.50,ARSITEK
40,82,58,77.5,64.38,257.50,ARSITEK
82.5,88,50,72.5,73.25,293.00,ARSITEK
97.5,94,82,90,90.88,363.50,ARSITEK
52.5,74,44,52.5,55.75,223.00,ARSITEK
47.5,80,50,60,59.38,237.50,ARSITEK
65,74,42,52.5,58.38,233.50,ARSITEK
32.5,86,48,57.5,56.00,224.00,ARSITEK
52.5,88,80,60,70.13,280.50,ARSITEK
85,86,74,70,78.75,315.00,ARSITEK
62.5,80,64,67.5,68.50,274.00,ARSITEK
77.5,70,44,60,62.88,251.50,ARSITEK
67.5,86,58,57.5,67.25,269.00,LISTRIK
65,74,60,52.5,62.88,251.50,LISTRIK
80,70,46,72.5,67.13,268.50,LISTRIK
55,68,56,70,62.25,249.00,LISTRIK
60,82,56,62.5,65.13,260.50,LISTRIK
52.5,82,54,67.5,64.00,256.00,LISTRIK
52.5,78,46,65,60.38,241.50,LISTRIK
47.5,82,46,72.5,62.00,248.00,LISTRIK
72.5,90,68,75,76.38,305.50,LISTRIK
57.5,84,60,57.5,64.75,259.00,LISTRIK
82.5,82,54,40,64.63,258.50,LISTRIK
60,68,50,65,60.75,243.00,LISTRIK
47.5,82,70,60,64.88,259.50,LISTRIK
77.5,68,46,52.5,61.00,244.00,LISTRIK
52.5,90,48,52.5,60.75,243.00,LISTRIK
55,86,80,67.5,72.13,288.50,LISTRIK
50,88,56,67.5,65.38,261.50,LISTRIK
42.5,86,54,80,65.63,262.50,LISTRIK
47.5,88,62,60,64.38,257.50,LISTRIK
67.5,76,40,62.5,61.50,246.00,LISTRIK
62.5,72,58,75,66.88,267.50,LISTRIK
82.5,86,80,77.5,81.50,326.00,LISTRIK
67.5,84,40,62.5,63.50,254.00,LISTRIK
55,74,58,67.5,63.63,254.50,LISTRIK
45,82,68,50,61.25,245.00,LISTRIK
60,86,50,52.5,62.13,248.50,LISTRIK
57.5,90,44,50,60.38,241.50,LISTRIK
45,78,64,62.5,62.38,249.50,LISTRIK
50,78,60,65,63.25,253.00,LISTRIK
42.5,82,50,70,61.13,244.50,LISTRIK
95,90,86,77.5,87.13,348.50,LISTRIK
60,84,58,62.5,66.13,264.50,LISTRIK
62.5,88,38,70,64.63,258.50,LISTRIK
65,90,58,50,65.75,263.00,LISTRIK
77.5,74,46,60,64.38,257.50,LISTRIK
65,82,50,62.5,64.88,259.50,LISTRIK
55,86,52,65,64.50,258.00,LISTRIK
60,78,56,62.5,64.13,256.50,LISTRIK
70,74,40,52.5,59.13,236.50,LISTRIK
90,82,50,92.5,78.63,314.50,LISTRIK
52.5,80,64,77.5,68.50,274.00,LISTRIK
47.5,78,50,62.5,59.50,238.00,LISTRIK
60,84,36,77.5,64.38,257.50,LISTRIK
47.5,90,56,65,64.63,258.50,LISTRIK
55,82,54,52.5,60.88,243.50,LISTRIK
57.5,78,68,57.5,65.25,261.00,LISTRIK
50,66,64,60,60.00,240.00,LISTRIK
37.5,74,44,65,55.13,220.50,LISTRIK
57.5,80,58,57.5,63.25,253.00,LISTRIK
60,68,52,65,61.25,245.00,LISTRIK
67.5,76,58,62.5,66.00,264.00,LISTRIK
60,80,56,55,62.75,251.00,LISTRIK
67.5,78,50,70,66.38,265.50,LISTRIK
70,78,56,57.5,65.38,261.50,LISTRIK
60,88,52,62.5,65.63,262.50,LISTRIK
65,82,50,57.5,63.63,254.50,LISTRIK
40,78,46,77.5,60.38,241.50,LISTRIK
55,82,58,57.5,63.13,252.50,LISTRIK
62.5,84,52,57.5,64.00,256.00,LISTRIK
62.5,82,46,55,61.38,245.50,LISTRIK
52.5,76,60,60,62.13,248.50,LISTRIK
57.5,74,42,67.5,60.25,241.00,LISTRIK
47.5,80,56,75,64.63,258.50,LISTRIK
52.5,84,50,62.5,62.25,249.00,LISTRIK
37.5,82,76,52.5,62.00,248.00,LISTRIK
97.5,80,86,80,85.88,343.50,LISTRIK
67.5,92,60,70,72.38,289.50,LISTRIK
57.5,78,52,60,61.88,247.50,LISTRIK
40,92,56,72.5,65.13,260.50,LISTRIK
52.5,76,46,67.5,60.50,242.00,LISTRIK
42.5,78,56,67.5,61.00,244.00,LISTRIK
77.5,76,42,47.5,60.75,243.00,LISTRIK
92.5,88,74,90,86.13,344.50,ELEKKTRONIKA
52.5,82,60,65,64.88,259.50,ELEKKTRONIKA
67.5,86,48,67.5,67.25,269.00,ELEKKTRONIKA
52.5,80,52,70,63.63,254.50,ELEKKTRONIKA
87.5,78,62,80,76.88,307.50,ELEKKTRONIKA
62.5,76,58,60,64.13,256.50,ELEKKTRONIKA
95,88,66,70,79.75,319.00,ELEKKTRONIKA
87.5,84,44,60,68.88,275.50,ELEKKTRONIKA
42.5,82,68,80,68.13,272.50,ELEKKTRONIKA
72.5,92,62,70,74.13,296.50,ELEKKTRONIKA
57.5,78,60,62.5,64.50,258.00,ELEKKTRONIKA
65,84,58,67.5,68.63,274.50,ELEKKTRONIKA
42.5,82,70,62.5,64.25,257.00,ELEKKTRONIKA
60,74,74,75,70.75,283.00,ELEKKTRONIKA
72.5,76,42,67.5,64.50,258.00,ELEKKTRONIKA
90,90,56,80,79.00,316.00,ELEKKTRONIKA
75,84,78,57.5,73.63,294.50,ELEKKTRONIKA
85,74,52,75,71.50,286.00,ELEKKTRONIKA
65,82,74,57.5,69.63,278.50,ELEKKTRONIKA
65,90,64,62.5,70.38,281.50,ELEKKTRONIKA
50,88,62,55,63.75,255.00,ELEKKTRONIKA
82.5,86,50,77.5,74.00,296.00,ELEKKTRONIKA
85,84,54,70,73.25,293.00,ELEKKTRONIKA
67.5,76,52,65,65.13,260.50,ELEKKTRONIKA
62.5,94,58,67.5,70.50,282.00,ELEKKTRONIKA
70,86,50,60,66.50,266.00,ELEKKTRONIKA
65,84,48,57.5,63.63,254.50,ELEKKTRONIKA
70,86,64,65,71.25,285.00,ELEKKTRONIKA
87.5,90,62,77.5,79.25,317.00,ELEKKTRONIKA
65,84,60,67.5,69.13,276.50,ELEKKTRONIKA
97.5,76,50,82.5,76.50,306.00,ELEKKTRONIKA
45,82,54,80,65.25,261.00,ELEKKTRONIKA
60,74,48,75,64.25,257.00,ELEKKTRONIKA
70,88,50,52.5,65.13,260.50,ELEKKTRONIKA
35,88,64,75,65.50,262.00,ELEKKTRONIKA
55,96,70,60,70.25,281.00,ELEKKTRONIKA
97.5,72,80,70,79.88,319.50,MESIN PRODUKSI
97.5,74,44,75,72.63,290.50,MESIN PRODUKSI
80,86,58,75,74.75,299.00,MESIN PRODUKSI
87.5,96,62,77.5,80.75,323.00,MESIN PRODUKSI
55,96,60,72.5,70.88,283.50,MESIN PRODUKSI
70,78,64,80,73.00,292.00,MESIN PRODUKSI
57.5,88,76,72.5,73.50,294.00,MESIN PRODUKSI
95,88,72,80,83.75,335.00,MESIN PRODUKSI
67.5,96,60,72.5,74.00,296.00,MESIN PRODUKSI
72.5,76,48,80,69.13,276.50,MESIN PRODUKSI
65,84,60,77.5,71.63,286.50,MESIN PRODUKSI
55,84,62,75,69.00,276.00,MESIN PRODUKSI
70,92,64,80,76.50,306.00,MESIN PRODUKSI
90,86,58,75,77.25,309.00,MESIN PRODUKSI
90,84,62,80,79.00,316.00,MESIN PRODUKSI
72.5,78,58,70,69.63,278.50,MESIN PRODUKSI
90,92,92,92.5,91.63,366.50,MESIN PRODUKSI
77.5,82,64,77.5,75.25,301.00,MESIN PRODUKSI
62.5,92,56,67.5,69.50,278.00,MESIN PRODUKSI
87.5,88,70,62.5,77.00,308.00,MESIN PRODUKSI
97.5,80,64,82.5,81.00,324.00,MESIN PRODUKSI
52.5,88,64,85,72.38,289.50,MESIN PRODUKSI
65,74,56,80,68.75,275.00,MESIN PRODUKSI
80,80,62,82.5,76.13,304.50,MESIN PRODUKSI
50,88,64,80,70.50,282.00,MESIN PRODUKSI
97.5,90,72,95,88.63,354.50,MESIN PRODUKSI
75,84,62,65,71.50,286.00,MESIN PRODUKSI
62.5,82,60,67.5,68.00,272.00,MESIN PRODUKSI
100,84,70,75,82.25,329.00,MESIN PRODUKSI
65,82,68,72.5,71.88,287.50,MESIN PRODUKSI
65,90,68,65,72.00,288.00,MESIN PRODUKSI
80,92,60,57.5,72.38,289.50,MESIN PRODUKSI
57.5,94,48,85,71.13,284.50,MESIN PRODUKSI
62.5,84,62,62.5,67.75,271.00,MESIN PRODUKSI
90,86,48,72.5,74.13,296.50,MESIN PRODUKSI
55,82,52,87.5,69.13,276.50,MESIN PRODUKSI
97.5,90,74,77.5,84.75,339.00,MESIN PRODUKSI
92.5,86,62,87.5,82.00,328.00,MESIN PRODUKSI
47.5,92,60,75,68.63,274.50,MESIN PRODUKSI
57.5,94,76,57.5,71.25,285.00,MESIN PRODUKSI
90,84,54,72.5,75.13,300.50,MESIN PRODUKSI
70,84,50,72.5,69.13,276.50,MESIN PRODUKSI
75,86,48,85,73.50,294.00,MESIN PRODUKSI
52.5,70,46,57.5,56.50,226.00,MESIN PRODUKSI
57.5,84,78,67.5,71.75,287.00,MESIN PRODUKSI
80,78,50,67.5,68.88,275.50,MESIN PRODUKSI
92.5,84,42,87.5,76.50,306.00,MESIN PRODUKSI
82.5,84,64,75,76.38,305.50,MESIN PRODUKSI
77.5,94,64,77.5,78.25,313.00,MESIN PRODUKSI
62.5,82,56,67.5,67.00,268.00,MESIN PRODUKSI
97.5,92,72,80,85.38,341.50,MESIN PRODUKSI
55,88,66,67.5,69.13,276.50,MESIN PRODUKSI
92.5,84,54,80,77.63,310.50,MESIN PRODUKSI
70,88,62,62.5,70.63,282.50,MESIN PRODUKSI
62.5,88,40,65,63.88,255.50,MESIN PRODUKSI
60,88,62,60,67.50,270.00,MESIN PRODUKSI
75,94,58,50,69.25,277.00,MESIN PRODUKSI
80,84,42,65,67.75,271.00,MESIN PRODUKSI
80,84,52,65,70.25,281.00,MESIN PRODUKSI
62.5,92,60,65,69.88,279.50,MESIN PRODUKSI
82.5,80,54,82.5,74.75,299.00,MESIN PRODUKSI
55,82,56,75,67.00,268.00,MESIN PRODUKSI
77.5,94,78,80,82.38,329.50,MESIN PRODUKSI
65,80,68,57.5,67.63,270.50,MESIN PRODUKSI
65,92,68,72.5,74.38,297.50,MESIN PRODUKSI
65,76,80,72.5,73.38,293.50,MESIN PRODUKSI
82.5,80,70,85,79.38,317.50,MESIN PRODUKSI
77.5,74,88,50,72.38,289.50,MESIN PRODUKSI
85,98,58,85,81.50,326.00,MESIN PRODUKSI
82.5,90,48,72.5,73.25,293.00,MESIN PRODUKSI
75,72,56,70,68.25,273.00,MESIN PRODUKSI
72.5,90,48,80,72.63,290.50,MESIN PRODUKSI
80,88,72,82.5,80.63,322.50,MESIN PRODUKSI
60,84,58,70,68.00,272.00,MESIN PRODUKSI
65,82,56,65,67.00,268.00,MESIN PRODUKSI
80,88,58,70,74.00,296.00,MESIN PRODUKSI
65,86,66,72.5,72.38,289.50,MESIN PRODUKSI
97.5,90,64,75,81.63,326.50,MESIN PRODUKSI
82.5,98,52,75,76.88,307.50,MESIN PRODUKSI
65,82,54,75,69.00,276.00,MESIN PRODUKSI
82.5,86,48,60,69.13,276.50,MESIN PRODUKSI
92.5,80,52,60,71.13,284.50,MESIN PRODUKSI
67.5,94,72,75,77.13,308.50,MESIN PRODUKSI
65,88,80,70,75.75,303.00,MESIN PRODUKSI
80,84,52,65,70.25,281.00,MESIN PRODUKSI
67.5,96,70,77.5,77.75,311.00,MESIN PRODUKSI
77.5,82,64,65,72.13,288.50,MESIN PRODUKSI
52.5,86,84,75,74.38,297.50,MESIN PRODUKSI
57.5,86,64,65,68.13,272.50,MESIN PRODUKSI
70,80,60,75,71.25,285.00,MESIN PRODUKSI
67.5,74,56,72.5,67.50,270.00,MESIN PRODUKSI
75,80,64,72.5,72.88,291.50,MESIN PRODUKSI
77.5,88,62,77.5,76.25,305.00,MESIN PRODUKSI
77.5,82,76,52.5,72.00,288.00,MESIN PRODUKSI
75,90,42,72.5,69.88,279.50,MESIN PRODUKSI
97.5,84,64,85,82.63,330.50,MESIN PRODUKSI
80,84,60,60,71.00,284.00,MESIN PRODUKSI
57.5,84,88,62.5,73.00,292.00,MESIN PRODUKSI
62.5,78,68,85,73.38,293.50,MESIN PRODUKSI
77.5,82,80,85,81.13,324.50,MESIN PRODUKSI
42.5,90,84,60,69.13,276.50,MESIN PRODUKSI
67.5,92,56,62.5,69.50,278.00,MESIN PRODUKSI
85,94,54,72.5,76.38,305.50,MESIN PRODUKSI
72.5,72,54,75,68.38,273.50,MESIN PRODUKSI
47.5,86,68,60,65.38,261.50,MESIN PRODUKSI
72.5,98,70,70,77.63,310.50,MESIN PRODUKSI
97.5,92,56,92.5,84.50,338.00,MESIN PRODUKSI
77.5,88,58,75,74.63,298.50,MESIN PRODUKSI
70,84,60,65,69.75,279.00,LAS
62.5,78,30,57.5,57.00,228.00,LAS
42.5,74,42,70,57.13,228.50,LAS
67.5,76,36,55,58.63,234.50,LAS
50,88,40,62.5,60.13,240.50,LAS
47.5,80,46,57.5,57.75,231.00,LAS
35,80,54,60,57.25,229.00,LAS
50,78,52,62.5,60.63,242.50,LAS
65,78,42,77.5,65.63,262.50,LAS
57.5,80,38,57.5,58.25,233.00,LAS
57.5,78,60,57.5,63.25,253.00,LAS
62.5,82,46,45,58.88,235.50,LAS
57.5,86,44,62.5,62.50,250.00,LAS
47.5,72,48,72.5,60.00,240.00,LAS
65,78,54,47.5,61.13,244.50,LAS
52.5,78,46,60,59.13,236.50,LAS
45,78,72,60,63.75,255.00,LAS
52.5,82,62,55,62.88,251.50,LAS
45,82,42,60,57.25,229.00,LAS
72.5,84,46,60,65.63,262.50,LAS
67.5,78,58,55,64.63,258.50,LAS
55,82,76,70,70.75,283.00,LAS
67.5,90,60,70,71.88,287.50,LAS
55,80,54,70,64.75,259.00,LAS
77.5,64,46,57.5,61.25,245.00,LAS
37.5,76,68,45,56.63,226.50,LAS
55,80,54,57.5,61.63,246.50,LAS
55,84,50,67.5,64.13,256.50,LAS
72.5,78,66,52.5,67.25,269.00,LAS
50,80,56,57.5,60.88,243.50,LAS
60,80,40,60,60.00,240.00,LAS
55,74,60,52.5,60.38,241.50,LAS
52.5,70,34,72.5,57.25,229.00,LAS
55,94,48,47.5,61.13,244.50,LAS
55,72,42,60,57.25,229.00,LAS
50,80,58,60,62.00,248.00,LAS
97.5,90,64,72.5,81.00,324.00,OTOMOTIF
57.5,84,56,72.5,67.50,270.00,OTOMOTIF
52.5,88,64,70,68.63,274.50,OTOMOTIF
92.5,94,74,77.5,84.50,338.00,OTOMOTIF
60,74,80,82.5,74.13,296.50,OTOMOTIF
75,94,76,80,81.25,325.00,OTOMOTIF
67.5,80,52,65,66.13,264.50,OTOMOTIF
55,92,58,67.5,68.13,272.50,OTOMOTIF
57.5,82,52,85,69.13,276.50,OTOMOTIF
97.5,96,76,72.5,85.50,342.00,OTOMOTIF
60,94,48,80,70.50,282.00,OTOMOTIF
67.5,90,82,72.5,78.00,312.00,OTOMOTIF
70,92,64,72.5,74.63,298.50,OTOMOTIF
70,88,50,75,70.75,283.00,OTOMOTIF
60,88,66,72.5,71.63,286.50,OTOMOTIF
97.5,92,64,92.5,86.50,346.00,OTOMOTIF
70,90,80,70,77.50,310.00,OTOMOTIF
80,86,54,65,71.25,285.00,OTOMOTIF
70,76,60,67.5,68.38,273.50,OTOMOTIF
77.5,90,82,77.5,81.75,327.00,OTOMOTIF
85,82,84,65,79.00,316.00,OTOMOTIF
97.5,94,96,90,94.38,377.50,OTOMOTIF
85,86,66,65,75.50,302.00,OTOMOTIF
67.5,84,50,65,66.63,266.50,OTOMOTIF
75,88,52,72.5,71.88,287.50,OTOMOTIF
80,94,44,82.5,75.13,300.50,OTOMOTIF
57.5,82,52,60,62.88,251.50,OTOMOTIF
50,86,58,60,63.50,254.00,OTOMOTIF
85,94,84,82.5,86.38,345.50,OTOMOTIF
60,78,52,77.5,66.88,267.50,OTOMOTIF
67.5,80,54,80,70.38,281.50,OTOMOTIF
67.5,74,60,77.5,69.75,279.00,OTOMOTIF
50,76,86,67.5,69.88,279.50,OTOMOTIF
90,84,36,67.5,69.38,277.50,OTOMOTIF
70,84,60,77.5,72.88,291.50,OTOMOTIF
85,82,62,60,72.25,289.00,OTOMOTIF
80,60,66,80,71.50,286.00,OTOMOTIF
37.5,70,46,40,48.38,193.50,OTOMOTIF
70,82,72,60,71.00,284.00,OTOMOTIF
72.5,88,72,67.5,75.00,300.00,OTOMOTIF
92.5,78,68,80,79.63,318.50,OTOMOTIF
67.5,84,54,67.5,68.25,273.00,OTOMOTIF
85,76,60,67.5,72.13,288.50,OTOMOTIF
67.5,86,56,65,68.63,274.50,OTOMOTIF
45,92,40,57.5,58.63,234.50,OTOMOTIF
87.5,86,86,80,84.88,339.50,OTOMOTIF
62.5,98,66,85,77.88,311.50,OTOMOTIF
80,96,88,60,81.00,324.00,OTOMOTIF
82.5,72,52,60,66.63,266.50,OTOMOTIF
62.5,82,60,80,71.13,284.50,OTOMOTIF
30,84,30,50,48.50,194.00,OTOMOTIF
47.5,90,64,75,69.13,276.50,OTOMOTIF
72.5,80,50,62.5,66.25,265.00,OTOMOTIF
95,92,58,52.5,74.38,297.50,OTOMOTIF
95,80,58,70,75.75,303.00,OTOMOTIF
90,98,58,87.5,83.38,333.50,OTOMOTIF
55,86,60,70,67.75,271.00,OTOMOTIF
57.5,88,50,70,66.38,265.50,OTOMOTIF
95,98,86,92.5,92.88,371.50,OTOMOTIF
45,82,54,72.5,63.38,253.50,OTOMOTIF
77.5,86,48,60,67.88,271.50,OTOMOTIF
90,82,84,75,82.75,331.00,OTOMOTIF
80,86,54,60,70.00,280.00,OTOMOTIF
72.5,74,82,52.5,70.25,281.00,OTOMOTIF
97.5,90,78,80,86.38,345.50,OTOMOTIF
80,88,58,72.5,74.63,298.50,OTOMOTIF
87.5,80,54,87.5,77.25,309.00,OTOMOTIF
62.5,88,48,77.5,69.00,276.00,OTOMOTIF
70,82,56,80,72.00,288.00,OTOMOTIF
85,86,50,70,72.75,291.00,OTOMOTIF
82.5,74,96,70,80.63,322.50,OTOMOTIF
52.5,82,70,77.5,70.50,282.00,OTOMOTIF
90,98,66,72.5,81.63,326.50,OTOMOTIF
62.5,78,84,60,71.13,284.50,OTOMOTIF
37.5,70,46,50,50.88,203.50,OTOMOTIF
42.5,82,82,62.5,67.25,269.00,OTOMOTIF
82.5,94,74,67.5,79.50,318.00,OTOMOTIF
72.5,82,54,70,69.63,278.50,OTOMOTIF
75,82,50,67.5,68.63,274.50,OTOMOTIF
75,88,62,77.5,75.63,302.50,OTOMOTIF
37.5,60,46,50,48.38,193.50,OTOMOTIF
97.5,88,64,77.5,81.75,327.00,OTOMOTIF
82.5,88,58,60,72.13,288.50,OTOMOTIF
65,76,82,65,72.00,288.00,OTOMOTIF
57.5,90,60,57.5,66.25,265.00,OTOMOTIF
97.5,90,76,87.5,87.75,351.00,OTOMOTIF
37.5,52,40,50,44.88,179.50,OTOMOTIF
87.5,88,64,92.5,83.00,332.00,OTOMOTIF
97.5,88,82,90,89.38,357.50,OTOMOTIF
65,82,54,70,67.75,271.00,OTOMOTIF
70,80,52,62.5,66.13,264.50,OTOMOTIF
92.5,74,58,62.5,71.75,287.00,OTOMOTIF
50,86,68,70,68.50,274.00,OTOMOTIF
95,80,56,67.5,74.63,298.50,OTOMOTIF
60,82,56,72.5,67.63,270.50,OTOMOTIF
72.5,90,60,52.5,68.75,275.00,OTOMOTIF
72.5,80,64,77.5,73.50,294.00,OTOMOTIF
60,96,60,65,70.25,281.00,OTOMOTIF
82.5,86,88,65,80.38,321.50,OTOMOTIF
52.5,70,50,60,58.13,232.50,OTOMOTIF
57.5,94,78,67.5,74.25,297.00,OTOMOTIF
32.5,76,46,40,48.63,194.50,OTOMOTIF
67.5,80,86,67.5,75.25,301.00,OTOMOTIF
57.5,90,72,62.5,70.50,282.00,OTOMOTIF
72.5,72,66,55,66.38,265.50,OTOMOTIF
80,82,64,77.5,75.88,303.50,OTOMOTIF
87.5,92,86,50,78.88,315.50,OTOMOTIF
67.5,88,56,72.5,71.00,284.00,OTOMOTIF
75,74,92,62.5,75.88,303.50,KOMPUTER & JARINGAN
82.5,80,50,85,74.38,297.50,KOMPUTER & JARINGAN
70,96,70,85,80.25,321.00,KOMPUTER & JARINGAN
87.5,94,86,87.5,88.75,355.00,KOMPUTER & JARINGAN
62.5,80,68,70,70.13,280.50,KOMPUTER & JARINGAN
82.5,98,62,55,74.38,297.50,KOMPUTER & JARINGAN
77.5,84,64,75,75.13,300.50,KOMPUTER & JARINGAN
65,86,88,72.5,77.88,311.50,KOMPUTER & JARINGAN
62.5,84,54,57.5,64.50,258.00,KOMPUTER & JARINGAN
82.5,74,66,82.5,76.25,305.00,KOMPUTER & JARINGAN
77.5,90,82,70,79.88,319.50,KOMPUTER & JARINGAN
97.5,98,70,77.5,85.75,343.00,KOMPUTER & JARINGAN
77.5,88,58,75,74.63,298.50,KOMPUTER & JARINGAN
90,88,48,67.5,73.38,293.50,KOMPUTER & JARINGAN
90,90,64,77.5,80.38,321.50,KOMPUTER & JARINGAN
72.5,88,50,85,73.88,295.50,KOMPUTER & JARINGAN
92.5,76,66,67.5,75.50,302.00,KOMPUTER & JARINGAN
60,88,74,70,73.00,292.00,KOMPUTER & JARINGAN
60,94,72,70,74.00,296.00,KOMPUTER & JARINGAN
70,88,88,72.5,79.63,318.50,KOMPUTER & JARINGAN
62.5,90,78,72.5,75.75,303.00,KOMPUTER & JARINGAN
65,88,76,85,78.50,314.00,KOMPUTER & JARINGAN
97.5,84,74,82.5,84.50,338.00,KOMPUTER & JARINGAN
90,86,80,90,86.50,346.00,KOMPUTER & JARINGAN
62.5,90,64,75,72.88,291.50,KOMPUTER & JARINGAN
92.5,82,72,77.5,81.00,324.00,KOMPUTER & JARINGAN
77.5,90,54,77.5,74.75,299.00,KOMPUTER & JARINGAN
72.5,90,62,70,73.63,294.50,KOMPUTER & JARINGAN
97.5,88,74,75,83.63,334.50,KOMPUTER & JARINGAN
97.5,98,84,87.5,91.75,367.00,KOMPUTER & JARINGAN
87.5,88,66,70,77.88,311.50,KOMPUTER & JARINGAN
70,94,92,67.5,80.88,323.50,KOMPUTER & JARINGAN
87.5,84,74,92.5,84.50,338.00,KOMPUTER & JARINGAN
80,86,76,85,81.75,327.00,KOMPUTER & JARINGAN
75,92,74,72.5,78.38,313.50,KOMPUTER & JARINGAN
87.5,76,90,62.5,79.00,316.00,KOMPUTER & JARINGAN
87.5,84,74,80,81.38,325.50,MULTIMEDIA
